User Stories English,Accecptance Criteria
"As an Event Manager I want to be able to edit a contact in the contact details view and unsubscribe him manually from an email distribution list,so that I can process unsubscribe requests via other channels (e.g. phone).The contact should get an Incident (with manual description of the reason).Storage period: 6 weeks","Acceptance criteria (postconditions):* In the event details with the matching distribution list, the contact is no longer on the distribution list.* A corresponding Incident can be found in the contact history."
"As a developer, I want a framework and sample implementation for REST API tests of the backend, so that I can write my own REST API tests based on it and use them to fully test the most important processes (e.g. create event) in the backend.",Acceptance criteria:* There is a working rest API test for the event backend.
"As an event manager I want to be able to manually add a new contact,so that I am able for example to manually add a new contact as a result of an annual feedback meeting and request to be added to a specific mailing list, without this contact having to have previously registered for one of our events.","Acceptance criteria (post conditions):* The contact is found in the contact search via its mandatory fields (last name, first name, email address)."
"As an Event Manager I want to be able to edit a contact in the view contact details and add it manually to an email distribution list,so that I can add contacts subscribing via other channels (e.g. phone).The contact should get an incident (with manual description of the reason).Storage period: 12 months (in the hope that he will go through a double opt in in this period)","Acceptance criteria (post conditions):* In the event details with the matching distribution list, the contact is on the distribution list.* there is a matching Incident in the contact history"
"As an event manager I want to have the Event Details view import the registrations from Contao on multiple imports in such a way that only the registrations newly added since the last import are imported,so that if I import from Contao multiple times, the warnings I edited about detected ambiguities for a contact are preserved.","Acceptance criteria (post conditions):* An already imported contact for which an ambiguity warning has been successfully resolved remains in its corrected form despite a new Contao import, i.e. it is not reset to the incorrect state stored in Contao for this event."
"As an event manager I want to transfer the registrations into participants with as few clicks as possibleso that the transfer of the participant list in CoMET is significantly accelerated.Hint:* possible approach: button ""mark all"" and thus enable exclusion procedure, i.e. deactivate the no-shows among the registrations.","Acceptance criteria (post-conditions):* with a number of N registrations (with N >= 100), instead of N I now need less than a maximum of 5 clicks to create the list of participants (without ad hoc participants, these are added afterwards)."
"As an Event Manager I want to be able to export all interested people, i.e. the sum of registrations and ad hoc participants, via a button ""Excel Export all interested people"" in the Event Details view,so that I am able to write to all interested people of this event via RapidMail afterwards.",Acceptance criteria (postconditions):* Given an event with N registrations and M ad hoc participants. Then the exported Excel list of interested parties for this event contains N + M contacts.
"As an Event Manager I want that in the view Event Details -> Feedback by importing a CSV file, all contacts with positive feedback are automatically put on all distribution lists of the location belonging to the event, so that all participants with positive feedback are informed in the future about all events at the given location.Example: Mr. P. M�ller visits the OF Karlsruhe and clicks on the link ""Continue to be informed about events from andrena"" in the thank you email after participation. After importing the feedback, the contact P. M�ller should be registered for the distribution list of all events in Karlsruhe (OF, Entwicklertage, XPDays, Workshops) and not only for the OF.Hint:Positive feedback means: Clicked=Yes, Deregistered=No.----",Acceptance Criteria:1. all contacts with positive feedback are on all distribution lists that belong to the same location as the event associated with the feedback.2. all contacts with positive feedback have the corresponding incidents in their contact history.
"As an event manager I want that in the Event Details -> Feedback view, by importing a CSV file, all contacts with negative feedback are automatically removed from all distribution lists, so that these contacts do not accidentally receive an email from andrena._Example: Mr. P. M�ller attends the OF Karlsruhe and clicks on the link ""Do not receive any more information"" in the thank you email after attending. After importing the feedback, the contact P. M�ller should be removed from all distribution lists._Notice:Positive feedback means: Clicked=Yes, Unsubscribed=No.----",Acceptance Criteria:1. all contacts with negative feedback are not subscribed to any distribution list.2. all contacts with negative feedback have the corresponding incidents in their history. The consequence for the deletion period is that the contact has only 14 days storage period and the previously given permanent storage period is canceled.
"As a Training Manager I want the complete life cycle of the course type ""public course"" (that is, a fee-based, open course) to be represented in full in the Training Cockpit (see table below)so that this course type can be represented in CoMET rather than in CRM.|| Time ||Description||Status||Story||| t0 - 12 months | Create Course | planned | COMET-283 || t0 - 12 months | Adjusting the Training Distribution | planned | COMET-297 || t0 - 12 weeks | Export training distribution list to Excel file | in preparation | COMET-284 || t0 - 12 weeks | Advertising e-mail via RapidMail (import of distribution list Excel file) | | external || t0 - 12 weeks | Registrations via andrena WebSite (Contao) | | external || t0 - 12 weeks | Start of repeated import of opt-out returns via RapidMail statistics | | COMET-285 || t0 - 12 weeks | Start of repeated import of registrations including billing information from Contao into CoMET | | COMET-286COMET-274COMET-278COMET-280 || t0 - 12 weeks | Start of the possibility to unsubscribe by phone or e-mail | | COMET-281 || t0 - 10 weeks | Manual addition of internal and external organisers (trainers, assistants) | | COMET-289 || t0 - 14 days | Export of registrations and organizers to Excel file | | COMET-287 || t0 - 14 days| Reminder e-mail via RapidMail (import of registration Excel file into RapidMail) | | external || t0 - 5 days |(last time): Import of registrations including billing information from Contao into CoMET| | COMET-286COMET-274COMET-278COMET-280 || t0 - 2 days | Export of an outbound list of registrations for the training | in progress | COMET-288 || t0 | cancellation of registrations (last possible date) | | COMET-281 || t0 | Execution of training and signature of all participants (no ad hoc participants ?) | | external || t0 + 1 day| Transfer of registrations into participants by marking all registrations that have participated according to the reject listplus manual adding via contact search ? orCreate a new contact of all participants who were not registered and participated ad hoc ? | in follow-up | COMET-290COMET-XXXCOMET-XXX ?| t0 + 2 days| Export of participant list to Excel file | | COMET-291 || t0 + 2 days| Thank you e-mail to all participants via RapidMail (import of participant list into RapidMail)| | external || t0 + 2 days| Transfer of billing information of all registrations of the category ""private"" and ""company"" (but not ""andrena employees"") to Navision (NAV) with invoice ID e.g. EV-12345 | in Invoice | COMET-275 COMET-689 || t0 + 16 days| Export of response statistics list from RapidMail | | external || t0 + 16 days| Import of the response statistics list into the training feedback list (Opt-In) | | COMET-292 || t0 + 40 days | Start of the automatic repeated readout of the NAV interface to mark all participants whose invoices are reported as paid | | COMET-293 || t0 + 120 days | As long as training not yet completed: Read NAV interface once per day.As soon as all participants have the marker that their invoice is paid, complete status transition automatically | Invoice completed | COMET-293COMET-281 || t0 + 120 days | Close course (only possible if billing is completed) | Completed | COMET-294 ||Cancel Course | Cancelled | COMET-295 ||Anytime |Possible for closed or canceled courses: Reopen course |Last status before| COMET-296 |Hint:Incidents are triggered by the state transitions and exports, some of which are also DSGVO-relevant.\\","Acceptance criteria:* Linear running through the life cycle of a public training, e.g. a PSM I training.** The life cycle of a public training course can be run through completely linearly, i.e. the above table can be run through line by line.\\* Non-linear progression through the life cycle, for example, of a PSM I course, in the form of a cancellation.** When traversing the life cycle of a public course in a linear fashion, the course can be canceled at any point so that the course enters the state ""canceled"".** The canceled course can then be reopened and is in exactly the same state (for example, in progress) as it was before it was canceled.** Courses should no longer be canceled if they are in a state below ""in progress"" in the table above. From the state ""in follow-up"" onwards, you can assume that the course was held successfully and that a cancellation would be in error.\\* Non-linear progression through the life cycle, for example, of a PSM I course, in the form of an early closure of the course.** When traversing the life cycle of a public course in a linear fashion, the course can be closed in the ""in billing"" state so that the course transitions to the ""closed"" state.** The closed course can then be reopened and returns to the exact state it was in before the (obviously premature) closure."
